application_date,approval_id,issue_date,latitude,longitude,project_id,complete_cancel_date,job_id,status,valuation
2015-01-02,1409658,2015-01-02,32.999099,-117.156775,403298,2015-01-28,785231,Completed,
2014-11-21,1394566,2015-01-02,32.769891,-117.126523,399214,2015-01-14,777407,Completed,
2014-12-04,1400013,2015-01-02,32.930994,-117.146185,400763,2015-01-19,780332,Completed,
2015-01-02,1412657,2015-01-02,32.760175,-117.140788,404116,2015-02-27,786810,Completed,
2015-01-02,1412679,2015-01-02,32.819094,-117.248631,404120,2015-03-23,786818,Completed,
2015-01-02,1412698,2015-01-02,32.96775,-117.138901,404126,2015-06-02,786832,Completed,
2014-11-21,1394577,2015-01-02,32.770597,-117.060148,399219,2015-01-12,777412,Completed,
2015-01-02,1411847,2015-01-02,32.702047,-117.082507,403879,2015-01-28,786330,Completed,
2015-01-02,1412033,2015-01-02,32.811988,-117.24059,403947,2015-01-27,786464,Completed,
2015-01-02,1412029,2015-01-02,32.791589,-117.029262,403946,2015-01-21,786460,Completed,
2015-01-05,1411841,2015-01-05,32.825412,-117.179414,403878,,786326,Pending Invoice Payment,
2015-01-05,1411822,2015-01-05,32.812615,-117.224244,403869,2015-03-25,786312,Completed,
2014-11-17,1391074,2015-01-05,32.840362,-117.227045,398265,2015-03-10,775509,Completed,5000
2014-08-28,1349884,2015-01-05,32.831518,-117.150238,386609,,754263,Issued,28800
2014-08-28,1349859,2015-01-05,32.831518,-117.150238,386609,2015-01-31,754242,Completed,19200
2014-12-12,1404821,2015-01-05,32.799546,-117.031399,402018,2015-01-08,782844,Completed,
2014-12-08,1401321,2015-01-05,32.978471,-117.159801,401138,2015-02-23,781120,Completed,
2014-12-09,1401899,2015-01-05,32.696099,-117.090193,401277,,781379,Issued,
2014-12-08,1401566,2015-01-05,32.673448,-117.045961,401209,2015-03-09,781252,Completed,
2014-12-08,1401576,2015-01-05,32.838693,-117.197832,401215,2015-03-18,781260,Completed,
2014-12-09,1401967,2015-01-06,32.85177,-117.197446,401292,2015-01-26,781416,Completed,
2014-12-16,1406176,2015-01-06,32.822056,-117.190668,402329,2015-02-08,783390,Completed,
2015-01-06,1406672,2015-01-06,32.580809,-117.073364,402465,,783645,Issued,
2015-01-06,1411658,2015-01-06,32.930706,-117.127005,403810,2015-03-25,786198,Completed,
